rank,word,POS,frequency
1,the,a,22038615
2,be,v,12545825
3,and,c,10741073
4,of,i,10343885
5,a,a,10144200
6,in,i,6996437
7,to,t,6332195
8,have,v,4303955
9,to,i,3856916
10,it,p,3872477
11,I,p,3978265
12,that,c,3430996
13,for,i,3281454
14,you,p,3081151
15,he,p,2909254
16,with,i,2683014
17,on,i,2485306
18,do,v,2573587
19,say,v,1915138
20,this,d,1885366
21,they,p,1865580
22,at,i,1767638
23,but,c,1776767
24,we,p,1820935
25,his,a,1801708
26,from,i,1635914
27,that,d,1712406
28,not,x,1638830
29,n't,x,1619007
30,by,i,1490548
31,she,p,1484869
32,or,c,1379320
33,as,c,1296879
34,what,d,1181023
35,go,v,1151045
36,their,a,1083029
37,can,v,1022775
38,who,p,1018283
39,get,v,992596
40,if,c,933542
41,would,v,925515
42,her,a,969591
43,all,d,892102
44,my,a,919821
45,make,v,857168
46,about,i,874406
47,know,v,892535
48,will,v,824568
49,as,i,829018
50,up,r,795534
51,one,m,768232
52,time,n,764657
53,there,e,784528
54,year,n,769254
55,so,r,756550
56,think,v,772787
57,when,c,678626
58,which,d,685982
59,them,p,677870
60,some,d,674193
61,me,p,709623
62,people,n,691468
63,take,v,670745
64,out,r,678603
65,into,i,668172
66,just,r,677711
67,see,v,663645
68,him,p,677707
69,your,a,659622
70,come,v,628254
71,could,v,617932
72,now,r,605997
73,than,c,579757
74,like,i,568850
75,other,j,547799
76,how,r,538893
77,then,r,543977
78,its,a,539719
79,our,a,525107
80,two,m,511027
81,more,r,517536
82,these,d,513864
83,want,v,514972
84,way,n,470401
85,look,v,491707
86,first,m,463566
87,also,r,464606
88,new,j,435993
89,because,c,438539
90,day,n,432773
91,more,d,420170
92,use,v,420781
93,no,a,402222
94,man,n,409760
95,find,v,395203
96,here,r,412315
97,thing,n,400724
98,give,v,384503
99,many,d,385348
100,well,r,411776
101,only,r,379574
102,those,d,378007
103,tell,v,388155
104,one,p,369553
105,very,r,391821
106,her,p,397950
107,even,r,361067
108,back,r,367844
109,any,d,348100
110,good,j,353973
111,woman,n,341422
112,through,i,340921
113,us,p,351088
114,life,n,333085
115,child,n,333849
116,there,r,333433
117,work,v,318210
118,down,r,329409
119,may,v,324569
120,after,i,311902
121,should,v,310265
122,call,v,308050
123,world,n,303506
124,over,i,300349
125,school,n,304183
126,still,r,296953
127,try,v,294023
128,in,r,285035
129,as,r,281483
130,last,m,289843
131,ask,v,284632
132,need,v,276744
133,too,r,280396
134,feel,v,275214
135,three,m,266744
136,when,r,268219
137,state,n,272193
138,never,r,262584
139,become,v,259102
140,between,i,264158
141,high,j,255936
142,really,r,263414
143,something,p,254910
144,most,r,246360
145,another,d,240646
146,much,d,244507
147,family,n,243267
148,own,d,240452
149,out,i,242443
150,leave,v,240482
151,put,v,237480
152,old,j,236577
153,while,c,234555
154,mean,v,242198
155,on,r,236980
156,keep,v,231760
157,student,n,255047
158,why,r,235442
159,let,v,240300
160,great,j,225005
161,same,d,222836
162,big,j,227169
163,group,n,229435
164,begin,v,218617
165,seem,v,219627
166,country,n,223138
167,help,v,216082
168,talk,v,229429
169,where,c,213744
170,turn,v,221392
171,problem,n,217728
172,every,a,212739
173,start,v,213952
174,hand,n,225247
175,might,v,209059
176,American,j,214968
177,show,v,208037
178,part,n,207861
179,about,r,208550
180,against,i,204379
181,place,n,202427
182,over,r,208260
183,such,d,207065
184,again,r,206895
185,few,d,197266
186,case,n,200773
187,most,d,197086
188,week,n,199268
189,company,n,203345
190,where,r,194427
191,system,n,200175
192,each,d,196522
193,right,r,205250
194,program,n,195985
195,hear,v,196070
196,so,c,191893
197,question,n,192070
198,during,i,190729
199,work,n,187533
200,play,v,188328
201,government,n,191314
202,run,v,187325
203,small,j,185463
204,number,n,186005
205,off,r,183854
206,always,r,179474
207,move,v,179388
208,like,v,182341
209,night,n,184511
210,live,v,176144
211,Mr,n,188555
212,point,n,177481
213,believe,v,178397
214,hold,v,177368
215,today,r,183724
216,bring,v,174366
217,happen,v,182714
218,next,m,176306
219,without,i,172448
220,before,i,172769
221,large,j,175611
222,all,r,177317
223,million,m,176895
224,must,v,171043
225,home,n,170527
226,under,i,164766
227,water,n,167666
228,room,n,172472
229,write,v,161824
230,mother,n,169407
231,area,n,165812
232,national,j,166359
233,money,n,164794
234,story,n,163582
235,young,j,160011
236,fact,n,164401
237,month,n,162685
238,different,j,162411
239,lot,n,169570
240,right,n,163259
241,study,n,174069
242,book,n,154013
243,eye,n,169150
244,job,n,154743
245,word,n,152891
246,though,c,152182
247,business,n,154468
248,issue,n,156417
249,side,n,152559
250,kind,n,155032
251,four,m,150646
252,head,n,160131
253,far,r,148621
254,black,j,150718
255,long,j,149050
256,both,d,146338
257,little,j,149658
258,house,n,149251
259,yes,u,157364
260,after,c,142289
261,since,c,141264
262,long,r,142007
263,provide,v,150879
264,service,n,146122
265,around,i,143766
266,friend,n,142697
267,important,j,144194
268,father,n,145051
269,sit,v,147185
270,away,r,144713
271,until,c,140819
272,power,n,141357
273,hour,n,138955
274,game,n,146311
275,often,r,140731
276,yet,r,135484
277,line,n,135986
278,political,j,144437
279,end,n,134104
280,among,i,138192
281,ever,r,135774
282,stand,v,140937
283,bad,j,134910
284,lose,v,134102
285,however,r,142282
286,member,n,134731
287,pay,v,133133
288,law,n,133706
289,meet,v,128737
290,car,n,133571
291,city,n,132684
292,almost,r,127907
293,include,v,133563
294,continue,v,126029
295,set,v,127369
296,later,r,126495
297,community,n,133057
298,much,r,126029
299,name,n,127139
300,five,m,125571
301,once,r,126203
302,white,j,126760
303,least,r,123961
304,president,n,134203
305,learn,v,124346
306,real,j,124187
307,change,v,123183
308,team,n,131489
309,minute,n,126660
310,best,j,124850
311,several,d,124039
312,idea,n,122140
313,kid,n,126428
314,body,n,125165
315,information,n,127331
316,nothing,p,126717
317,ago,r,125252
318,right,j,126278
319,lead,v,122691
320,social,j,132899
321,understand,v,121354
322,whether,c,121921
323,back,n,125006
324,watch,v,124976
325,together,r,119186
326,follow,v,119425
327,around,r,122789
328,parent,n,119610
329,only,j,117700
330,stop,v,121481
331,face,n,127291
332,anything,p,120292
333,create,v,119419
334,public,j,119825
335,already,r,115220
336,speak,v,117358
337,others,n,115771
338,read,v,114094
339,level,n,121704
340,allow,v,114892
341,add,v,117842
342,office,n,114791
343,spend,v,114569
344,door,n,124993
345,health,n,117762
346,person,n,113650
347,art,n,117851
348,sure,j,116186
349,such,i,119125
350,war,n,117804
351,history,n,114904
352,party,n,112962
353,within,i,114599
354,grow,v,110020
355,result,n,116277
356,open,v,111857
357,change,n,112426
358,morning,n,114002
359,walk,v,113787
360,reason,n,106863
361,low,j,108990
362,win,v,111478
363,research,n,114802
364,girl,n,110409
365,guy,n,110409
366,early,j,108171
367,food,n,107728
368,before,c,107448
369,moment,n,109720
370,himself,p,109288
371,air,n,105932
372,teacher,n,116100
373,force,n,108005
374,offer,v,106473
375,enough,r,105880
376,both,r,106361
377,education,n,113731
378,across,i,105559
379,although,c,107925
380,remember,v,106879
381,foot,n,107285
382,second,m,103621
383,boy,n,107447
384,maybe,r,108421
385,toward,i,105984
386,able,j,103171
387,age,n,103402
388,off,i,104122
389,policy,n,107601
390,everything,p,103591
391,love,v,103681
392,process,n,107341
393,music,n,102657
394,including,i,103650
395,consider,v,101987
396,appear,v,100671
397,actually,r,105155
398,buy,v,101105
399,probably,r,99754
400,human,j,101224
401,wait,v,102463
402,serve,v,99660
403,market,n,100435
404,die,v,98376
405,send,v,96613
406,expect,v,95566
407,home,r,97937
408,sense,n,95896
409,build,v,96651
410,stay,v,96933
411,fall,v,96908
412,oh,u,103613
413,nation,n,97212
414,plan,n,95824
415,cut,v,96012
416,college,n,97038
417,interest,n,96620
418,death,n,93222
419,course,r,96224
420,someone,p,95608
421,experience,n,98106
422,behind,i,95047
423,reach,v,92375
424,local,j,92970
425,kill,v,92660
426,six,m,90571
427,remain,v,91319
428,effect,n,95216
429,use,n,96564
430,yeah,u,103389
431,suggest,v,92643
432,class,n,91323
433,control,n,90301
434,raise,v,87036
435,care,n,88862
436,perhaps,r,87060
437,little,r,88697
438,late,j,86421
439,hard,j,86817
440,field,n,87243
441,else,r,87876
442,pass,v,86184
443,former,d,88930
444,sell,v,87865
445,major,j,87487
446,sometimes,r,84845
447,require,v,89280
448,along,i,84926
449,development,n,91995
450,themselves,p,85256
451,report,v,88138
452,role,n,88666
453,better,j,83895
454,economic,j,90392
455,effort,n,86473
456,up,i,85759
457,decide,v,84035
458,rate,n,87224
459,strong,j,83677
460,possible,j,85084
461,heart,n,84536
462,drug,n,86231
463,show,n,86828
464,leader,n,85438
465,light,n,87427
466,voice,n,89379
467,wife,n,83601
468,whole,j,83756
469,police,n,85880
470,mind,n,82808
471,finally,r,81951
472,pull,v,87243
473,return,v,81812
474,free,j,82090
475,military,j,85152
476,price,n,84443
477,report,n,83174
478,less,r,82930
479,according,i,83773
480,decision,n,82429
481,explain,v,80797
482,son,n,80895
483,hope,v,81385
484,even,c,79087
485,develop,v,84835
486,view,n,81338
487,relationship,n,84549
488,carry,v,79513
489,town,n,79821
490,road,n,80987
491,drive,v,80476
492,arm,n,84865
493,true,j,79299
494,federal,j,81826
495,break,v,79310
496,better,r,78334
497,difference,n,82911
498,thank,v,88574
499,receive,v,80250
500,value,,
